Priority,Src,Dest,Protocol,TTL,TOS,ID,IpLen,DgmLen,DF,Seq,Ack,TcpLen,Class
2,78.159.112.180:80,192.168.40.10:1038,TCP,128,0x0,313,20,818,***AP***,0xE0D3096C,0xFCE580FC,20,Potentially Bad Traffic
2,192.168.40.10:1038,78.159.112.180:80,TCP,54,0x0,63432,20,394,***AP***,0xFCE580FC,0xE0D30C76,20,Potentially Bad Traffic
2,78.159.112.180:80,192.168.40.10:1038,TCP,128,0x0,326,20,608,***A****,0xE0D30C76,0xFCE5825E,20,Potentially Bad Traffic
2,89.149.226.123:80,192.168.40.10:1042,TCP,128,0x0,435,20,709,***A****,0x9F7C05C9,0xD6DE9AD8,20,Potentially Bad Traffic
2,192.168.40.10:1041,221.132.34.184:80,TCP,45,0x0,4880,20,422,***A****,0x24FEF730,0x3DBACE0B,20,Potentially Bad Traffic
1,192.168.40.10:1062,85.17.136.147:80,TCP,52,0x0,1439,20,437,***A****,0x78018803,0xBED91AB4,20,A Network Trojan was Detected
2,88.212.196.69:80,192.168.40.10:1061,TCP,52,0x0,65236,20,911,***AP***,0xB5733670,0x7FA77D5,20,Attempted Information Leak
2,88.212.196.69:80,192.168.40.10:1061,TCP,128,0x0,497,20,911,***A****,0xB5733670,0x7FA77D5,20,Attempted Information Leak
2,192.168.40.10:1041,221.132.34.184:80,TCP,45,0x0,4883,20,372,***A****,0x24FEF8AE,0x3DBAD688,20,Potentially Bad Traffic
1,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,514,20,17560,***A****,0xBED91AB4,0x78018990,20,A Network Trojan was Detected
2,192.168.40.10:1062,85.17.136.147:80,TCP,52,0x0,1506,20,231,***A****,0x78018990,0xBEDA9182,20,Potentially Bad Traffic
3,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,998,20,17560,***A****,0xBEDA9182,0x78018A4F,20,Misc activity
2,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,998,20,17560,***A****,0xBEDA9182,0x78018A4F,20,Potentially Bad Traffic
1,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,998,20,17560,***A****,0xBEDA9182,0x78018A4F,20,Potential Corporate Privacy Violation
1,192.168.40.10:1062,85.17.136.147:80,TCP,52,0x0,1594,20,409,***A****,0x78018A4F,0xBEDC7D1F,20,A Network Trojan was Detected
1,192.168.40.10:1062,85.17.136.147:80,TCP,52,0x0,1594,20,409,***A****,0x78018A4F,0xBEDC7D1F,20,A Network Trojan was Detected
2,85.17.136.147:80,192.168.40.10:1062,TCP,52,0x0,1595,20,1500,***A****,0xBEDC7D1F,0x78018BC0,20,Misc Attack
2,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,1120,20,12225,***A****,0xBEDC7D1F,0x78018BC0,20,Potentially Bad Traffic
1,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,1120,20,12225,***A****,0xBEDC7D1F,0x78018BC0,20,A Network Trojan was Detected
1,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,1120,20,12225,***A****,0xBEDC7D1F,0x78018BC0,20,Attempted User Privilege Gain
1,192.168.40.10:1122,204.137.28.195:80,TCP,114,0x0,11809,20,538,***AP***,0x51E30D5D,0x5A569BD1,20,A Network Trojan was Detected
1,192.168.40.10:1121,204.137.28.195:80,TCP,114,0x0,20510,20,538,***AP***,0x59486A2B,0xF0FACCE8,20,A Network Trojan was Detected
1,192.168.40.10:1122,204.137.28.195:80,TCP,114,0x0,11893,20,538,***AP***,0x51E30F4F,0x5A569DBE,20,A Network Trojan was Detected
3,69.31.29.42:80,192.168.40.10:1124,TCP,56,0x0,46370,20,349,***AP***,0xD8D6CAF0,0x495FA00B,20,Misc activity
3,69.31.29.42:80,192.168.40.10:1123,TCP,56,0x0,30775,20,349,***AP***,0xD93107E9,0xB263EFEB,20,Misc activity
3,69.31.29.42:80,192.168.40.10:1123,TCP,56,0x0,30777,20,349,***AP***,0xD931091E,0xB263F155,20,Misc activity
2,192.168.40.10:1138,199.80.55.123:80,TCP,54,0x0,16137,20,1481,***A****,0x3C538DDA,0x4AE2D7F0,20,Potentially Bad Traffic
2,192.168.40.10:1146,199.80.55.108:80,TCP,54,0x0,33325,20,1196,***AP***,0x345EBCDE,0x667549E6,20,Potentially Bad Traffic
1,192.168.40.10:1149,94.228.218.157:80,TCP,56,0x0,55206,20,236,***A****,0xCEEA3EE4,0xA5D8CD08,20,A Network Trojan was Detected
1,192.168.40.10:1149,94.228.218.157:80,TCP,56,0x0,55206,20,236,***A****,0xCEEA3EE4,0xA5D8CD08,20,A Network Trojan was Detected
2,192.168.40.10:1062,85.17.136.147:80,TCP,52,0x0,1604,20,231,***A****,0x78018BC0,0xBEDCACB8,20,Potentially Bad Traffic
3,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,1548,20,17560,***A****,0xBEDCACB8,0x78018C7F,20,Misc activity
2,85.17.136.147:80,192.168.40.10:1062,TCP,128,0x0,1548,20,17560,***A****,0xBEDCACB8,0x78018C7F,20,Potentially Bad Traffic
1,192.168.40.10:1062,85.17.136.147:80,TCP,52,0x0,1692,20,334,***AP***,0x78018C7F,0xBEDE9856,20,Potential Corporate Privacy Violation
1,192.168.40.10:1062,85.17.136.147:80,TCP,52,0x0,1692,20,334,***AP***,0x78018C7F,0xBEDE9856,20,A Network Trojan was Detected
2,192.168.40.10:1167,31.3.153.147:80,TCP,53,0x0,20602,20,227,***A****,0xDE3F2403,0x9E85F387,20,Potentially Bad Traffic
1,192.168.40.10:1167,31.3.153.147:80,TCP,53,0x0,20602,20,227,***A****,0xDE3F2403,0x9E85F387,20,A Network Trojan was Detected
1,31.3.153.147:80,192.168.40.10:1167,TCP,128,0x0,2029,20,5689,***A****,0x9E85F387,0xDE3F24BE,20,A Network Trojan was Detected
2,192.168.40.10:1170,85.17.136.147:80,TCP,52,0x0,52384,20,317,***A****,0xE4F2D91F,0xC0D37BFD,20,Potentially Bad Traffic
1,192.168.40.10:1171,31.3.153.147:80,TCP,53,0x0,29034,20,227,***A****,0xD60BEE09,0x9DF8D297,20,A Network Trojan was Detected
1,192.168.40.10:1169,31.3.153.147:80,TCP,53,0x0,55355,20,227,***A****,0x760DDCCB,0x9EEB7BC6,20,A Network Trojan was Detected
1,192.168.40.10:1168,31.3.153.147:80,TCP,53,0x0,25911,20,227,***A****,0x9DACFC06,0x9E1AC6CA,20,A Network Trojan was Detected
1,192.168.40.10:1176,31.3.153.147:80,TCP,53,0x0,45770,20,227,***A****,0x84A80AB9,0x9F331656,20,A Network Trojan was Detected
1,31.3.153.147:80,192.168.40.10:1171,TCP,128,0x0,2219,20,5689,***A***F,0x9DF8D297,0xD60BEEC4,20,A Network Trojan was Detected
1,85.17.136.147:80,192.168.40.10:1170,TCP,128,0x0,2220,20,5821,***A****,0xC0D37BFD,0xE4F2DA34,20,A Network Trojan was Detected
1,31.3.153.147:80,192.168.40.10:1176,TCP,128,0x0,2223,20,5689,***A***F,0x9F331656,0x84A80B74,20,A Network Trojan was Detected
1,31.3.153.147:80,192.168.40.10:1168,TCP,128,0x0,2224,20,5689,***A***F,0x9E1AC6CA,0x9DACFCC1,20,A Network Trojan was Detected
1,31.3.153.147:80,192.168.40.10:1169,TCP,128,0x0,2225,20,5689,***A***F,0x9EEB7BC6,0x760DDD86,20,A Network Trojan was Detected
3,12.171.94.40:80,192.168.40.10:1207,TCP,117,0x0,20700,20,357,***AP***,0x2387C2AC,0x66D308C8,20,Misc activity
1,192.168.40.10:1209,85.17.136.147:80,TCP,52,0x0,20875,20,235,***A****,0x7A895B67,0xC1119897,20,A Network Trojan was Detected
2,192.168.40.10:1209,85.17.136.147:80,TCP,52,0x0,20875,20,235,***A****,0x7A895B67,0xC1119897,20,Potentially Bad Traffic
3,12.171.94.40:80,192.168.40.10:1208,TCP,117,0x0,20770,20,357,***AP***,0x719A943C,0x3E80C101,20,Misc activity
1,192.168.40.10:1177,31.3.153.147:80,TCP,53,0x0,38198,20,227,***A****,0x72B82AA7,0x9ECC31AA,20,A Network Trojan was Detected
1,192.168.40.10:1210,85.17.136.147:80,TCP,52,0x0,10766,20,235,***A****,0x614A69A,0xC112E00F,20,A Network Trojan was Detected
2,192.168.40.10:1210,85.17.136.147:80,TCP,52,0x0,10766,20,235,***A****,0x614A69A,0xC112E00F,20,Potentially Bad Traffic
3,85.17.136.147:80,192.168.40.10:1209,TCP,128,0x0,2273,20,17560,***A****,0xC1119897,0x7A895C2A,20,Misc activity
2,85.17.136.147:80,192.168.40.10:1209,TCP,128,0x0,2273,20,17560,***A****,0xC1119897,0x7A895C2A,20,Potentially Bad Traffic
1,85.17.136.147:80,192.168.40.10:1209,TCP,128,0x0,2273,20,17560,***A****,0xC1119897,0x7A895C2A,20,Potential Corporate Privacy Violation
1,85.17.136.147:80,192.168.40.10:1209,TCP,128,0x0,2273,20,17560,***A****,0xC1119897,0x7A895C2A,20,A Network Trojan was Detected
1,85.17.136.147:80,192.168.40.10:1209,TCP,128,0x0,2273,20,17560,***A****,0xC1119897,0x7A895C2A,20,A Network Trojan was Detected
1,31.3.153.147:80,192.168.40.10:1177,TCP,128,0x0,2276,20,5689,***A****,0x9ECC31AA,0x72B82B62,20,A Network Trojan was Detected
1,192.168.40.10:1211,85.17.136.147:80,TCP,52,0x0,49124,20,235,***A****,0x5719DF78,0xC0EE7484,20,A Network Trojan was Detected
2,192.168.40.10:1211,85.17.136.147:80,TCP,52,0x0,49124,20,235,***A****,0x5719DF78,0xC0EE7484,20,Potentially Bad Traffic
2,192.168.40.10:1211,85.17.136.147:80,TCP,52,0x0,49124,20,235,***A****,0x5719DF78,0xC0EE7484,20,Attempted Information Leak
3,85.17.136.147:80,192.168.40.10:1210,TCP,128,0x0,2308,20,17560,***A****,0xC112E00F,0x614A75D,20,Misc activity
2,85.17.136.147:80,192.168.40.10:1210,TCP,128,0x0,2308,20,17560,***A****,0xC112E00F,0x614A75D,20,Potentially Bad Traffic
1,85.17.136.147:80,192.168.40.10:1210,TCP,128,0x0,2308,20,17560,***A****,0xC112E00F,0x614A75D,20,Potential Corporate Privacy Violation
3,12.171.94.40:80,192.168.40.10:1212,TCP,117,0x0,20877,20,357,***AP***,0xC33BC7E6,0x553582B8,20,Misc activity
3,85.17.136.147:80,192.168.40.10:1211,TCP,128,0x0,2349,20,17560,***A****,0xC0EE7484,0x5719E03B,20,Misc activity
2,85.17.136.147:80,192.168.40.10:1211,TCP,128,0x0,2349,20,17560,***A****,0xC0EE7484,0x5719E03B,20,Potentially Bad Traffic
1,85.17.136.147:80,192.168.40.10:1211,TCP,128,0x0,2349,20,17560,***A****,0xC0EE7484,0x5719E03B,20,Potential Corporate Privacy Violation
3,12.171.94.40:80,192.168.40.10:1213,TCP,117,0x0,21071,20,357,***AP***,0xE7CE3BE1,0x94BC6253,20,Misc activity
3,12.171.94.40:80,192.168.40.10:1222,TCP,117,0x0,21275,20,357,***AP***,0x33366234,0x46DB0C3E,20,Misc activity
2,192.168.40.10:1224,85.17.136.147:80,TCP,128,0x0,2573,20,189,***AP***,0xA28C8FAB,0xC1014F11,20,Access to a Potentially Vulnerable Web Application
3,12.171.94.40:80,192.168.40.10:1225,TCP,117,0x0,21496,20,357,***AP***,0xF4504578,0x7AC9318C,20,Misc activity
3,12.171.94.40:80,192.168.40.10:1228,TCP,117,0x0,21760,20,357,***AP***,0x13E3A7D8,0xE8B715C1,20,Misc activity
3,12.171.94.40:80,192.168.40.10:1235,TCP,117,0x0,22022,20,357,***AP***,0xD4D06451,0xD5A4862A,20,Misc activity
3,173.241.242.12:80,192.168.40.10:1236,TCP,53,0x0,19754,20,409,***A***F,0xB51CD62,0x450E5E43,20,Misc activity
3,173.241.242.12:80,192.168.40.10:1241,TCP,53,0x0,688,20,409,***A***F,0xC7419B81,0x31EAC8D,20,Misc activity
3,173.241.242.12:80,192.168.40.10:1251,TCP,53,0x0,26174,20,409,***A***F,0xC6458C95,0x309AC1F8,20,Misc activity
3,173.241.242.12:80,192.168.40.10:1253,TCP,53,0x0,16785,20,409,***A***F,0xAF0F745D,0x28D30D92,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24588,20,1292,***AP***,0x1D078B2,0x6DB4F1AD,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24589,20,1292,***AP***,0x1D07D96,0x6DB4F31D,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24590,20,1292,***AP***,0x1D0827A,0x6DB4F48D,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24591,20,1292,***AP***,0x1D0875E,0x6DB4F5FD,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24592,20,1292,***AP***,0x1D08C42,0x6DB4F76D,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24593,20,1292,***AP***,0x1D09126,0x6DB4F8DD,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24594,20,1292,***AP***,0x1D0960A,0x6DB4FA4D,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24599,20,1292,***AP***,0x1D0AAEF,0x6DB501A2,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24600,20,1292,***AP***,0x1D0AFD3,0x6DB50312,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24601,20,1292,***AP***,0x1D0B4B7,0x6DB50482,20,Misc activity
3,69.31.29.17:80,192.168.40.10:1262,TCP,56,0x0,24605,20,1292,***AP***,0x1D0C73C,0x6DB50767,20,Misc activity
3,75.125.58.102:80,192.168.40.10:1283,TCP,55,0x0,50332,20,481,***AP***,0xC5BD6664,0xDB69CD05,20,Misc activity
1,192.168.40.10:1296,178.18.249.66:80,TCP,56,0x0,21150,20,570,***A****,0xA2C6AC90,0xB6849ACB,20,A Network Trojan was Detected
2,192.168.40.10:1296,178.18.249.66:80,TCP,56,0x0,21150,20,570,***A****,0xA2C6AC90,0xB6849ACB,20,Potentially Bad Traffic
3,64.236.79.229:80,192.168.40.10:1300,TCP,245,0x0,9277,20,745,***AP***,0xF402B4E2,0x6765727A,20,Misc activity
3,67.15.218.107:80,192.168.40.10:1310,TCP,128,0x0,4364,20,308,***A****,0x4932BB21,0x4E7B5C8C,20,Misc activity
3,75.125.58.102:80,192.168.40.10:1324,TCP,55,0x0,57125,20,640,***AP***,0xC64C723D,0x2E793E26,20,Misc activity
3,173.241.242.12:80,192.168.40.10:1320,TCP,53,0x0,10000,20,409,***A***F,0x60033213,0x6DADBE,20,Misc activity
3,69.31.29.8:80,192.168.40.10:1319,TCP,56,0x0,21176,20,395,***AP***,0xED87449F,0x3FDBDBE6,20,Misc activity
3,74.122.142.23:80,192.168.40.10:1330,TCP,243,0x0,41301,20,548,***AP***,0xD9341935,0x9E2BE78C,20,Misc activity
3,173.241.242.12:80,192.168.40.10:1339,TCP,53,0x0,58533,20,409,***A***F,0x22A5043E,0x366CDB13,20,Misc activity
3,64.94.107.64:80,192.168.40.10:1349,TCP,58,0x0,15477,20,327,***AP**F,0xB9D25E72,0x30BDB0E5,20,Misc activity
3,64.94.107.64:80,192.168.40.10:1354,TCP,58,0x0,44088,20,327,***AP**F,0xBA60CE4B,0x538996A7,20,Misc activity
3,208.71.125.1:80,192.168.40.10:1362,TCP,56,0x0,11924,20,540,***AP***,0x5BA39D20,0x3096BCF8,20,Misc activity
1,80.237.132.81:80,192.168.33.10:1031,TCP,128,0x0,86,20,7418,***A****,0xD21DCAEB,0x4C63F720,20,A Network Trojan was Detected
1,80.237.132.81:80,192.168.33.10:1030,TCP,128,0x0,91,20,15869,***A****,0xD1E051FF,0x6C9A0641,20,A Network Trojan was Detected
1,192.168.33.10:1031,80.237.132.81:80,TCP,54,0x0,1026,20,323,***A****,0x4C63F720,0xD21DE7BD,20,Potential Corporate Privacy Violation
1,89.20.83.118:80,192.168.33.10:1041,TCP,128,0x0,391,20,5536,***A****,0xF062F5B7,0x8397259,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1041,TCP,128,0x0,391,20,5536,***A****,0xF062F5B7,0x8397259,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1041,TCP,128,0x0,391,20,5536,***A****,0xF062F5B7,0x8397259,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1041,TCP,128,0x0,391,20,5536,***A****,0xF062F5B7,0x8397259,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1041,TCP,128,0x0,398,20,5645,***A****,0xF0630B2F,0x83973B8,20,A Network Trojan was Detected
2,89.20.83.118:80,192.168.33.10:1041,TCP,128,0x0,398,20,5645,***A****,0xF0630B2F,0x83973B8,20,Potentially Bad Traffic
1,89.20.83.118:80,192.168.33.10:1041,TCP,128,0x0,398,20,5645,***A****,0xF0630B2F,0x83973B8,20,A Network Trojan was Detected
2,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15238,20,315,***A****,0xFAC9564E,0x4EE54B6F,20,Potentially Bad Traffic
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15238,20,315,***A****,0xFAC9564E,0x4EE54B6F,20,A Network Trojan was Detected
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15238,20,315,***A****,0xFAC9564E,0x4EE54B6F,20,A Network Trojan was Detected
2,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,415,20,12812,***A****,0x4EE54B6F,0xFAC95761,20,Potentially Bad Traffic
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,415,20,12812,***A****,0x4EE54B6F,0xFAC95761,20,Attempted User Privilege Gain
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,415,20,12812,***A****,0x4EE54B6F,0xFAC95761,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,415,20,12812,***A****,0x4EE54B6F,0xFAC95761,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,415,20,12812,***A****,0x4EE54B6F,0xFAC95761,20,A Network Trojan was Detected
2,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15249,20,272,***A****,0xFAC95761,0x4EE57D53,20,Potentially Bad Traffic
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15249,20,272,***A****,0xFAC95761,0x4EE57D53,20,A Network Trojan was Detected
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15249,20,272,***A****,0xFAC95761,0x4EE57D53,20,A Network Trojan was Detected
2,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,422,20,12811,***A****,0x4EE57D53,0xFAC95849,20,Potentially Bad Traffic
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,422,20,12811,***A****,0x4EE57D53,0xFAC95849,20,Attempted User Privilege Gain
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,422,20,12811,***A****,0x4EE57D53,0xFAC95849,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,422,20,12811,***A****,0x4EE57D53,0xFAC95849,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,422,20,12811,***A****,0x4EE57D53,0xFAC95849,20,A Network Trojan was Detected
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15260,20,315,***A****,0xFAC95849,0x4EE5AF36,20,A Network Trojan was Detected
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15260,20,315,***A****,0xFAC95849,0x4EE5AF36,20,A Network Trojan was Detected
2,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,432,20,12811,***A****,0x4EE5AF36,0xFAC9595C,20,Potentially Bad Traffic
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,432,20,12811,***A****,0x4EE5AF36,0xFAC9595C,20,Attempted User Privilege Gain
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,432,20,12811,***A****,0x4EE5AF36,0xFAC9595C,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,432,20,12811,***A****,0x4EE5AF36,0xFAC9595C,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,432,20,12811,***A****,0x4EE5AF36,0xFAC9595C,20,A Network Trojan was Detected
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15271,20,315,***A****,0xFAC9595C,0x4EE5E119,20,A Network Trojan was Detected
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15271,20,315,***A****,0xFAC9595C,0x4EE5E119,20,A Network Trojan was Detected
2,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,440,20,12811,***AP***,0x4EE5E119,0xFAC95A6F,20,Potentially Bad Traffic
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,440,20,12811,***AP***,0x4EE5E119,0xFAC95A6F,20,Attempted User Privilege Gain
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,440,20,12811,***AP***,0x4EE5E119,0xFAC95A6F,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,440,20,12811,***AP***,0x4EE5E119,0xFAC95A6F,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,440,20,12811,***AP***,0x4EE5E119,0xFAC95A6F,20,A Network Trojan was Detected
1,192.168.33.10:1042,89.20.83.118:80,TCP,51,0x0,15282,20,233,***A****,0xFAC95A6F,0x4EE612FC,20,A Network Trojan was Detected
3,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,447,20,16840,***A****,0x4EE612FC,0xFAC95B30,20,Misc activity
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,447,20,16840,***A****,0x4EE612FC,0xFAC95B30,20,Potential Corporate Privacy Violation
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,447,20,16840,***A****,0x4EE612FC,0xFAC95B30,20,A Network Trojan was Detected
1,89.20.83.118:80,192.168.33.10:1042,TCP,128,0x0,447,20,16840,***A****,0x4EE612FC,0xFAC95B30,20,A Network Trojan was Detected
1,192.168.33.10:1044,188.40.40.189:80,TCP,52,0x0,45824,20,169,***A****,0xD8049B89,0x33E5520E,20,A Network Trojan was Detected
1,192.168.33.10:1044,188.40.40.189:80,TCP,52,0x0,45824,20,169,***A****,0xD8049B89,0x33E5520E,20,A Network Trojan was Detected
1,188.40.40.189:80,192.168.33.10:1044,TCP,128,0x0,466,20,17560,***A****,0x33E5520E,0xD8049C0A,20,A Network Trojan was Detected
1,188.40.40.189:80,192.168.33.10:1044,TCP,128,0x0,466,20,17560,***A****,0x33E5520E,0xD8049C0A,20,A Network Trojan was Detected
1,192.168.33.10:1044,188.40.40.189:80,TCP,52,0x0,46021,20,169,***A****,0xD8049C0A,0x33E9AB69,20,A Network Trojan was Detected
1,192.168.33.10:1044,188.40.40.189:80,TCP,52,0x0,46021,20,169,***A****,0xD8049C0A,0x33E9AB69,20,A Network Trojan was Detected
1,188.40.40.189:80,192.168.33.10:1044,TCP,128,0x0,569,20,17560,***A****,0x33E9AB69,0xD8049C8B,20,A Network Trojan was Detected
1,188.40.40.189:80,192.168.33.10:1044,TCP,128,0x0,569,20,17560,***A****,0x33E9AB69,0xD8049C8B,20,A Network Trojan was Detected
1,192.168.33.10:1044,188.40.40.189:80,TCP,52,0x0,46146,20,169,***A****,0xD8049C8B,0x33EC6AC4,20,A Network Trojan was Detected
